index,task_id,difficulty,module,status,category,reason_cn,evidence,returncode,elapsed_seconds,llm_elapsed_seconds,llm_finish_reason,llm_total_tokens,verilog_bytes,folder,result_json
13,cvdp_copilot_axis_joiner_0001,medium,should,PASS,PASS,CVDP 判题通过。,,0,0.1426098346710205,236.09289288520813,stop,13084,5851,13_cvdp_copilot_axis_joiner_0001,13_cvdp_copilot_axis_joiner_0001/test_result.json
14,cvdp_copilot_barrel_shifter_0001,easy,barrel_shifter_8bit,PASS,PASS,CVDP 判题通过。,,0,0.43395400047302246,11.031224489212036,stop,1286,261,14_cvdp_copilot_barrel_shifter_0001,14_cvdp_copilot_barrel_shifter_0001/test_result.json
15,cvdp_copilot_bcd_counter_0001,easy,bcd_counter,PASS,PASS,CVDP 判题通过。,,0,0.15847277641296387,59.43639302253723,stop,4122,1980,15_cvdp_copilot_bcd_counter_0001,15_cvdp_copilot_bcd_counter_0001/test_result.json
16,cvdp_copilot_bcd_to_excess_3_0001,easy,should,PASS,PASS,CVDP 判题通过。,,0,0.15165400505065918,10.003772497177124,stop,1082,340,16_cvdp_copilot_bcd_to_excess_3_0001,16_cvdp_copilot_bcd_to_excess_3_0001/test_result.json
17,cvdp_copilot_binary_to_one_hot_decoder_0001,easy,binary_to_one_hot_decoder,PASS,PASS,CVDP 判题通过。,,0,0.4203987121582031,21.348313808441162,stop,1787,657,17_cvdp_copilot_binary_to_one_hot_decoder_0001,17_cvdp_copilot_binary_to_one_hot_decoder_0001/test_result.json
18,cvdp_copilot_caesar_cipher_0001,easy,caesar_cipher,PASS,PASS,CVDP 判题通过。,,0,0.44087743759155273,32.78375291824341,stop,2471,992,18_cvdp_copilot_caesar_cipher_0001,18_cvdp_copilot_caesar_cipher_0001/test_result.json
19,cvdp_copilot_car_parking_management_0001,medium,Name,PASS,PASS,CVDP 判题通过。,,0,0.15326857566833496,236.02804160118103,stop,13705,3969,19_cvdp_copilot_car_parking_management_0001,19_cvdp_copilot_car_parking_management_0001/test_result.json
20,cvdp_copilot_cascaded_adder_0001,easy,cascaded_adder,PASS,PASS,CVDP 判题通过。,,0,0.16063618659973145,74.92064070701599,stop,4565,1226,20_cvdp_copilot_cascaded_adder_0001,20_cvdp_copilot_cascaded_adder_0001/test_result.json
21,cvdp_copilot_clock_divider_0003,easy,clock_divider,PASS,PASS,CVDP 判题通过。,,0,0.14583182334899902,54.96804904937744,stop,3281,953,21_cvdp_copilot_clock_divider_0003,21_cvdp_copilot_clock_divider_0003/test_result.json
22,cvdp_copilot_comparator_0001,easy,for,PASS,PASS,CVDP 判题通过。,,0,0.4291388988494873,24.951648473739624,stop,1872,638,22_cvdp_copilot_comparator_0001,22_cvdp_copilot_comparator_0001/test_result.json
23,cvdp_copilot_complex_multiplier_0001,easy,,PASS,PASS,CVDP 判题通过。,,0,0.14608240127563477,26.64926528930664,stop,1844,923,23_cvdp_copilot_complex_multiplier_0001,23_cvdp_copilot_complex_multiplier_0001/test_result.json
24,cvdp_copilot_concatenate_0001,medium,enhanced_fsm_signal_processor,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,"assert LogicArray('10', Range(1, 'downto', 0)) == 1",0,0.41910862922668457,148.93996715545654,stop,8976,3342,24_cvdp_copilot_concatenate_0001,24_cvdp_copilot_concatenate_0001/test_result.json
25,cvdp_copilot_configurable_digital_low_pass_filter_0001,medium,for,PASS,PASS,CVDP 判题通过。,,0,0.17455005645751953,212.13011813163757,stop,13263,2602,25_cvdp_copilot_configurable_digital_low_pass_filter_0001,25_cvdp_copilot_configurable_digital_low_pass_filter_0001/test_result.json
26,cvdp_copilot_configurable_digital_low_pass_filter_0004,medium,that,PASS,PASS,CVDP 判题通过。,,0,0.17646479606628418,78.22216486930847,stop,5195,2185,26_cvdp_copilot_configurable_digital_low_pass_filter_0004,26_cvdp_copilot_configurable_digital_low_pass_filter_0004/test_result.json
27,cvdp_copilot_configurable_digital_low_pass_filter_0014,easy,for,PASS,PASS,CVDP 判题通过。,,0,0.17272353172302246,333.60907006263733,stop,18847,4346,27_cvdp_copilot_configurable_digital_low_pass_filter_0014,27_cvdp_copilot_configurable_digital_low_pass_filter_0014/test_result.json
28,cvdp_copilot_convolutional_encoder_0001,easy,are,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,"33.00ns WARNING  ..ding.test_convolutional_encoding Encoded bit1 mismatch at cycle 1: got 0, expected 1",0,0.43447327613830566,49.230953216552734,stop,2730,1051,28_cvdp_copilot_convolutional_encoder_0001,28_cvdp_copilot_convolutional_encoder_0001/test_result.json
29,cvdp_copilot_data_bus_controller_0001,medium,definition,PASS,PASS,CVDP 判题通过。,,0,0.14822912216186523,163.26524782180786,stop,8687,2246,29_cvdp_copilot_data_bus_controller_0001,29_cvdp_copilot_data_bus_controller_0001/test_result.json
30,cvdp_copilot_data_width_converter_0003,easy,should,PASS,PASS,CVDP 判题通过。,,0,0.42636656761169434,91.5514612197876,stop,5304,1726,30_cvdp_copilot_data_width_converter_0003,30_cvdp_copilot_data_width_converter_0003/test_result.json
31,cvdp_copilot_dbi_0001,medium,,PASS,PASS,CVDP 判题通过。,,0,0.14997625350952148,61.666128635406494,stop,4423,1463,31_cvdp_copilot_dbi_0001,31_cvdp_copilot_dbi_0001/test_result.json
32,cvdp_copilot_decode_firstbit_0001,medium,implements,PASS,PASS,CVDP 判题通过。,,0,0.15009307861328125,18.852128982543945,stop,2772,4915,32_cvdp_copilot_decode_firstbit_0001,32_cvdp_copilot_decode_firstbit_0001/test_result.json
33,cvdp_copilot_digital_dice_roller_0001,easy,will,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,"raise AttributeError(f""{self._path} contains no child object named {name}"")",0,0.4416642189025879,116.28537964820862,stop,6193,1342,33_cvdp_copilot_digital_dice_roller_0001,33_cvdp_copilot_digital_dice_roller_0001/test_result.json
34,cvdp_copilot_digital_stopwatch_0001,easy,using,PASS,PASS,CVDP 判题通过。,,0,0.1510927677154541,56.539063692092896,stop,3538,1635,34_cvdp_copilot_digital_stopwatch_0001,34_cvdp_copilot_digital_stopwatch_0001/test_result.json
35,cvdp_copilot_edge_detector_0001,easy,named,PASS,PASS,CVDP 判题通过。,,0,0.43741607666015625,46.14333891868591,stop,2752,689,35_cvdp_copilot_edge_detector_0001,35_cvdp_copilot_edge_detector_0001/test_result.json
36,cvdp_copilot_ethernet_packet_parser_0001,medium,to,FAIL,VERILOG_COMPILE_FAIL,Icarus Verilog 编译/展开失败，说明 direct 生成的 HDL 不是有效可判题实现。,"raise CalledProcessError(retcode, process.args,",1,0.171065092086792,66.67480325698853,stop,3026,3846,36_cvdp_copilot_ethernet_packet_parser_0001,36_cvdp_copilot_ethernet_packet_parser_0001/test_result.json
37,cvdp_copilot_events_to_apb_0001,easy,for,PASS,PASS,CVDP 判题通过。,,0,0.1703808307647705,166.05707144737244,stop,6901,3820,37_cvdp_copilot_events_to_apb_0001,37_cvdp_copilot_events_to_apb_0001/test_result.json
38,cvdp_copilot_factorial_0001,medium,,PASS,PASS,CVDP 判题通过。,,0,0.14239716529846191,182.59096002578735,stop,9515,2020,38_cvdp_copilot_factorial_0001,38_cvdp_copilot_factorial_0001/test_result.json
39,cvdp_copilot_fibonacci_series_0001,easy,generates,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,assert 2 == 1,0,0.4430227279663086,366.09876251220703,stop,11907,1424,39_cvdp_copilot_fibonacci_series_0001,39_cvdp_copilot_fibonacci_series_0001/test_result.json
40,cvdp_copilot_fifo_async_0001,medium,with,FAIL,VERILOG_COMPILE_FAIL,Icarus Verilog 编译/展开失败，说明 direct 生成的 HDL 不是有效可判题实现。,/home/rongxv/work/cvdp-runs/direct-deepseek-v4-server-fresh-20260606/40_cvdp_copilot_fifo_async_0001/harness/rtl/fifo_async.sv:91: error: 'w_full' is not a valid l-value for a procedural assignment.,1,0.1685466766357422,249.4682092666626,stop,14033,3925,40_cvdp_copilot_fifo_async_0001,40_cvdp_copilot_fifo_async_0001/test_result.json
41,cvdp_copilot_filo_0005,medium,name,PASS,PASS,CVDP 判题通过。,,0,0.15146994590759277,203.01977109909058,stop,11902,3041,41_cvdp_copilot_filo_0005,41_cvdp_copilot_filo_0005/test_result.json
42,cvdp_copilot_fsm_seq_detector_0001,easy,,PASS,PASS,CVDP 判题通过。,,0,0.15953731536865234,115.96277594566345,stop,7739,2285,42_cvdp_copilot_fsm_seq_detector_0001,42_cvdp_copilot_fsm_seq_detector_0001/test_result.json
43,cvdp_copilot_gcd_0001,easy,gcd_top,PASS,PASS,CVDP 判题通过。,,0,0.15288639068603516,324.5610234737396,stop,18041,4610,43_cvdp_copilot_gcd_0001,43_cvdp_copilot_gcd_0001/test_result.json
44,cvdp_copilot_gf_multiplier_0001,easy,gf_multiplier,PASS,PASS,CVDP 判题通过。,,0,0.4262831211090088,85.6182599067688,stop,5403,638,44_cvdp_copilot_gf_multiplier_0001,44_cvdp_copilot_gf_multiplier_0001/test_result.json
45,cvdp_copilot_hamming_code_tx_and_rx_0001,easy,Name,PASS,PASS,CVDP 判题通过。,,0,0.1469874382019043,10.730635166168213,stop,1570,480,45_cvdp_copilot_hamming_code_tx_and_rx_0001,45_cvdp_copilot_hamming_code_tx_and_rx_0001/test_result.json
46,cvdp_copilot_hamming_code_tx_and_rx_0003,easy,hamming_code_receiver,PASS,PASS,CVDP 判题通过。,,0,0.1492607593536377,92.77094054222107,stop,4428,826,46_cvdp_copilot_hamming_code_tx_and_rx_0003,46_cvdp_copilot_hamming_code_tx_and_rx_0003/test_result.json
47,cvdp_copilot_hebbian_rule_0017,medium,hebbian_rule,PASS,PASS,CVDP 判题通过。,,0,0.15790748596191406,329.64510464668274,stop,20502,5910,47_cvdp_copilot_hebbian_rule_0017,47_cvdp_copilot_hebbian_rule_0017/test_result.json
48,cvdp_copilot_hill_cipher_0001,medium,that,PASS,PASS,CVDP 判题通过。,,0,0.1500716209411621,184.56325387954712,stop,11039,2702,48_cvdp_copilot_hill_cipher_0001,48_cvdp_copilot_hill_cipher_0001/test_result.json
49,cvdp_copilot_load_store_unit_0001,medium,load_store_unit,PASS,PASS,CVDP 判题通过。,,0,0.15282320976257324,400.3869183063507,length,22615,300,49_cvdp_copilot_load_store_unit_0001,49_cvdp_copilot_load_store_unit_0001/test_result.json
50,cvdp_copilot_matrix_multiplier_0001,easy,matrix_multiplier,PASS,PASS,CVDP 判题通过。,,0,0.16901946067810059,112.50662159919739,stop,7249,1936,50_cvdp_copilot_matrix_multiplier_0001,50_cvdp_copilot_matrix_multiplier_0001/test_result.json
51,cvdp_copilot_microcode_sequencer_0001,medium,microcode_sequencer,PASS,PASS,CVDP 判题通过。,,0,0.14729857444763184,386.87299060821533,length,27633,2004,51_cvdp_copilot_microcode_sequencer_0001,51_cvdp_copilot_microcode_sequencer_0001/test_result.json
52,cvdp_copilot_morse_code_0001,easy,translates,PASS,PASS,CVDP 判题通过。,,0,0.46253108978271484,68.00792360305786,stop,6231,4897,52_cvdp_copilot_morse_code_0001,52_cvdp_copilot_morse_code_0001/test_result.json
53,cvdp_copilot_moving_average_0001,easy,moving_average,PASS,PASS,CVDP 判题通过。,,0,0.1334996223449707,52.41448259353638,stop,3005,656,53_cvdp_copilot_moving_average_0001,53_cvdp_copilot_moving_average_0001/test_result.json
54,cvdp_copilot_nbit_swizzling_0001,easy,nbit_swizzling,PASS,PASS,CVDP 判题通过。,,0,0.14116120338439941,101.13113021850586,stop,6464,1940,54_cvdp_copilot_nbit_swizzling_0001,54_cvdp_copilot_nbit_swizzling_0001/test_result.json
55,cvdp_copilot_packet_controller_0001,medium,in,PASS,PASS,CVDP 判题通过。,,0,0.1744554042816162,329.4523928165436,stop,17769,5134,55_cvdp_copilot_packet_controller_0001,55_cvdp_copilot_packet_controller_0001/test_result.json
56,cvdp_copilot_palindrome_3b_0002,easy,Definition,PASS,PASS,CVDP 判题通过。,,0,0.1512308120727539,51.543314695358276,stop,2742,667,56_cvdp_copilot_palindrome_3b_0002,56_cvdp_copilot_palindrome_3b_0002/test_result.json
57,cvdp_copilot_perceptron_0001,medium,perceptron_gates,PASS,PASS,CVDP 判题通过。,,0,0.15954279899597168,356.50514340400696,stop,22277,7456,57_cvdp_copilot_perceptron_0001,57_cvdp_copilot_perceptron_0001/test_result.json
58,cvdp_copilot_perf_counters_0001,easy,that,PASS,PASS,CVDP 判题通过。,,0,0.15127897262573242,168.18442034721375,stop,8921,1200,58_cvdp_copilot_perf_counters_0001,58_cvdp_copilot_perf_counters_0001/test_result.json
59,cvdp_copilot_perfect_squares_0001,easy,called,PASS,PASS,CVDP 判题通过。,,0,0.15158987045288086,59.199878454208374,stop,3394,516,59_cvdp_copilot_perfect_squares_0001,59_cvdp_copilot_perfect_squares_0001/test_result.json
60,cvdp_copilot_piso_0001,easy,piso_8bit,PASS,PASS,CVDP 判题通过。,,0,0.5563132762908936,108.48406958580017,stop,6151,528,60_cvdp_copilot_piso_0001,60_cvdp_copilot_piso_0001/test_result.json
61,cvdp_copilot_prbs_gen_0003,medium,cvdp_prbs_gen,PASS,PASS,CVDP 判题通过。,,0,0.33770060539245605,206.5439851284027,stop,11442,1754,61_cvdp_copilot_prbs_gen_0003,61_cvdp_copilot_prbs_gen_0003/test_result.json
62,cvdp_copilot_restoring_division_0001,medium,that,PASS,PASS,CVDP 判题通过。,,0,0.15136003494262695,39.0434045791626,stop,3150,8347,62_cvdp_copilot_restoring_division_0001,62_cvdp_copilot_restoring_division_0001/test_result.json
63,cvdp_copilot_reverse_bits_0001,easy,reverse_bits,PASS,PASS,CVDP 判题通过。,,0,0.4377121925354004,5.054526090621948,stop,817,283,63_cvdp_copilot_reverse_bits_0001,63_cvdp_copilot_reverse_bits_0001/test_result.json
64,cvdp_copilot_secure_read_write_bus_0001,medium,secure_read_write_bus_interface,PASS,PASS,CVDP 判题通过。,,0,0.4470102787017822,81.74324107170105,stop,4977,1425,64_cvdp_copilot_secure_read_write_bus_0001,64_cvdp_copilot_secure_read_write_bus_0001/test_result.json
65,cvdp_copilot_secure_read_write_register_bank_0001,medium,secure_read_write_register_bank,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,"assert LogicArray('00000010', Range(7, 'downto', 0)) == 0",0,0.4710574150085449,242.70963501930237,stop,14333,2622,65_cvdp_copilot_secure_read_write_register_bank_0001,65_cvdp_copilot_secure_read_write_register_bank_0001/test_result.json
66,cvdp_copilot_sequencial_binary_to_one_hot_decoder_0001,easy,binary_to_one_hot_decoder_sequencial,FAIL,VERILOG_COMPILE_FAIL,Icarus Verilog 编译/展开失败，说明 direct 生成的 HDL 不是有效可判题实现。,"raise CalledProcessError(retcode, process.args,",1,0.08066201210021973,41.100013732910156,stop,3289,681,66_cvdp_copilot_sequencial_binary_to_one_hot_decoder_0001,66_cvdp_copilot_sequencial_binary_to_one_hot_decoder_0001/test_result.json
67,cvdp_copilot_serial_in_parallel_out_0004,easy,serial_in_parallel_out_8bit,PASS,PASS,CVDP 判题通过。,,0,0.43612194061279297,22.550036907196045,stop,2308,253,67_cvdp_copilot_serial_in_parallel_out_0004,67_cvdp_copilot_serial_in_parallel_out_0004/test_result.json
68,cvdp_copilot_set_bit_calculator_0001,easy,SetBitStreamCalculator,PASS,PASS,CVDP 判题通过。,,0,0.4622056484222412,241.32497644424438,stop,12559,1130,68_cvdp_copilot_set_bit_calculator_0001,68_cvdp_copilot_set_bit_calculator_0001/test_result.json
69,cvdp_copilot_sorter_0001,easy,sorting_engine,PASS,PASS,CVDP 判题通过。,,0,0.14673662185668945,268.1672580242157,stop,14406,3034,69_cvdp_copilot_sorter_0001,69_cvdp_copilot_sorter_0001/test_result.json
70,cvdp_copilot_static_branch_predict_0001,medium,static_branch_predict,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,"raise AttributeError(f""{self._path} contains no child object named {name}"")",0,0.503638744354248,466.7909827232361,stop,18443,2702,70_cvdp_copilot_static_branch_predict_0001,70_cvdp_copilot_static_branch_predict_0001/test_result.json
71,cvdp_copilot_sync_lifo_0001,medium,sync_lifo,PASS,PASS,CVDP 判题通过。,,0,0.14931988716125488,130.68699645996094,stop,7085,1880,71_cvdp_copilot_sync_lifo_0001,71_cvdp_copilot_sync_lifo_0001/test_result.json
72,cvdp_copilot_sync_serial_communication_0001,medium,must,PASS,PASS,CVDP 判题通过。,,0,0.13265275955200195,372.129433631897,stop,20000,5767,72_cvdp_copilot_sync_serial_communication_0001,72_cvdp_copilot_sync_serial_communication_0001/test_result.json
73,cvdp_copilot_thermostat_0001,medium,thermostat,PASS,PASS,CVDP 判题通过。,,0,0.40167903900146484,221.86925220489502,stop,14544,6359,73_cvdp_copilot_thermostat_0001,73_cvdp_copilot_thermostat_0001/test_result.json
74,cvdp_copilot_ttc_lite_0001,medium,ttc_counter_lite.sv,PASS,PASS,CVDP 判题通过。,,0,0.1329030990600586,203.1882746219635,stop,10683,2831,74_cvdp_copilot_ttc_lite_0001,74_cvdp_copilot_ttc_lite_0001/test_result.json
75,cvdp_copilot_unpacker_one_hot_0001,easy,that,PASS,PASS,CVDP 判题通过。,,0,0.48143935203552246,40.03277540206909,stop,2929,2455,75_cvdp_copilot_unpacker_one_hot_0001,75_cvdp_copilot_unpacker_one_hot_0001/test_result.json
76,cvdp_copilot_vending_machine_0001,medium,using,PASS,PASS,CVDP 判题通过。,,0,0.14934110641479492,20.682509422302246,stop,3581,6421,76_cvdp_copilot_vending_machine_0001,76_cvdp_copilot_vending_machine_0001/test_result.json
77,cvdp_copilot_vga_controller_0001,medium,vga_controller,PASS,PASS,CVDP 判题通过。,,0,0.14325165748596191,24.509001970291138,stop,4360,7003,77_cvdp_copilot_vga_controller_0001,77_cvdp_copilot_vga_controller_0001/test_result.json
78,cvdp_copilot_wb2ahb_0001,medium,wishbone_to_ahb_bridge,PASS,PASS,CVDP 判题通过。,,0,0.1442699432373047,63.429768323898315,stop,4032,10468,78_cvdp_copilot_wb2ahb_0001,78_cvdp_copilot_wb2ahb_0001/test_result.json
